标题,朝代,作者,体裁,内容
﻿岐阳三首 其三 ,金,元好问,七言律诗,眈眈九虎护秦关，懦楚孱齐几上看。禹贡土田推陆海，汉家封檄自天山。北风猎猎悲笳发，渭水萧萧战骨寒。三十六峰长剑在，倚天仙掌惜空闲。
﻿癸巳四月二十九日出京,金,元好问,七言律诗,塞外初捐宴赐金，当时南牧已骎骎。只知灞上真儿戏，谁谓神州竟陆沈。华表鹤来应有语，铜盘人去亦何心。兴亡谁识天公意？留著青城阅古今。
﻿喜李彦深过聊城,金,元好问,七言律诗,围城十月鬼为邻，异县相逢白发新。恨我不如南去雁，羡君独是北归人。言诗匡鼎功名薄，去国虞翻骨相屯。老眼天公只如此，穷途无用说悲辛。
﻿壬辰十二月车驾东狩后即事五首 其一 ,金,元好问,七言律诗,翠被匆匆见执鞭，戴盆郁郁梦瞻天。只知河朔归铜马，又说台城堕纸鸢。血肉正应皇极数，衣冠不及广明年。何时真得携家去，万里秋风一钓船。
﻿壬辰十二月车驾东狩后即事五首 其二 ,金,元好问,七言律诗,惨澹龙蛇日斗争，干戈真欲尽生灵。高原水出山河改，战地风来草木腥。精卫有冤填瀚海，包胥无泪哭秦庭。并州豪杰知谁在？莫拟分军下井陉。
﻿壬辰十二月车驾东狩后即事五首 其三 ,金,元好问,七言律诗,郁郁围城度两年，愁肠饥火日相煎。焦头无客知移突，曳足何人与共船。白骨又多兵死鬼，青山元有地行仙。西南三月音书绝，落日孤云望眼穿。
﻿壬辰十二月车驾东狩后即事五首 其四 ,金,元好问,七言律诗,万里荆襄入战尘，汴州门外即荆榛。蛟龙岂是池中物，虮虱空悲地上臣。乔木他年怀故国，野烟何处望行人？秋风不用吹华发，沧海横流要此身。
﻿壬辰十二月车驾东狩后即事五首 其五 ,金,元好问,七言律诗,五云宫阙露盘秋，银汉无声桂树稠。复道渐看连上苑，戈船仍拟下扬州。曲中青冢传新怨，梦里华胥失旧游。去去江南庾开府，凤凰楼畔莫回头。
﻿与张杜饮,金,元好问,七言律诗,故人寥落晓天星，异县相逢觉眼明。世事且休论向日，酒尊聊喜似承平。山公倒载群儿笑，焦遂高谈四座惊。轰醉春风一千日，愁城从此不能兵。
﻿秋夕,金,元好问,七言律诗,小簟凉多睡思清，一窗风雨送秋声。频年但觉貂裘敝，万古何曾马角生。寄食且依严尹幕，附书谁住邓州城？洗愁欲问东家酒，恨杀寒鸡不肯鸣。
