标题,朝代,作者,体裁,内容
諴夏,隋,牛弘等奉诏作,四言诗,四海之内，一和之壤。地曰神州，物赖生长。咸池既降，泰折斯飨。牲牷尚黑，圭玉实两。九寓载宁，神功克广。
社稷歌四首 其一 春祈社諴夏,隋,牛弘等奉诏作,四言诗,厚地开灵，方坛崇祀。达以风露，树之松梓。勾萌既申，芟柞伊始。恭祈粢盛，载膺休祉。
社稷歌四首 其二 春祈稷諴夏,隋,牛弘等奉诏作,四言诗,粒食兴教，播厥有先。尊神致絜，报本惟虔。瞻榆束耒，望杏开田。方凭戬福，伫咏丰年。
社稷歌四首 其三 秋报社諴夏,隋,牛弘等奉诏作,四言诗,北墉申礼，单出表诚。丰牺入荐，华乐在庭。原隰既平，泉流又清。如云已望，高廪斯盈。
社稷歌四首 其四 秋报稷諴夏,隋,牛弘等奉诏作,四言诗,民天务急，农亦勤止。或萒或藨，惟亹惟芑。凉风戒时，岁云秋矣。物成则报，功施必祀。
先农歌 諴夏,隋,牛弘等奉诏作,四言诗,农祥晨晰，土膏初起。春原俶载，青坛致祀。敛跸长阡，回旌外壝。房俎饰荐，山罍沈滓。亲事朱弦，躬持黛耜。恭神务穑，受禧隆祉。
先圣先师歌 諴夏,隋,牛弘等奉诏作,四言诗,经国立训，学重教先。三坟肇册，五典留篇。开凿理著，陶铸功宣。东胶西序，春诵夏弦。芳尘载仰，祀典无骞。
太庙乐歌九首 其一 迎神歌,隋,牛弘等奉诏作,四言诗,务本兴教，尊神体国。霜露感心，享祀陈则。官联式序，奔走在庭。几筵结慕，裸献惟诚。嘉乐载合，神其降止。永言保之，锡以繁祉。
太庙乐歌九首 其二 登歌,隋,牛弘等奉诏作,四言诗,孝熙严祖，师象敬宗。惟皇肃肃，有来雍雍。雕梁霞复，绣橑云重。观德自感，奉璋伊恭。彝斝尽饰，羽缀有容。升歌发藻，景福来从。
太庙乐歌九首 其三 俎入歌,隋,牛弘等奉诏作,四言诗,祭本用初，祀由功举。骏奔咸会，供神有序。明酌盈樽，丰牺实俎。幽金既荐，缋错维旅。享由明德，香非稷黍。载流嘉庆，克固鸿绪。
太庙乐歌九首 其四 皇高祖太原府君神室歌,隋,牛弘等奉诏作,四言诗,缔基发祥，肇源兴庆。乃仁乃哲，克明克令。庸宣国图，善流人咏。开我皇业，七百同盛。
太庙乐歌九首 其五 皇曾祖康王神室歌,隋,牛弘等奉诏作,四言诗,皇条俊茂，帝系灵长。丰功叠轨，厚利重光。福由善积，代以德彰。严恭尽礼，永锡无疆。
太庙乐歌九首 其六 皇祖献王神室歌,隋,牛弘等奉诏作,四言诗,盛才必达，丕基增旧。涉渭同符，迁邠等构。弘风迈德，义高道富。神鉴孔昭，王猷克懋。
太庙乐歌九首 其七 皇考太祖武元皇帝神室歌,隋,牛弘等奉诏作,四言诗,深仁冥著，至道潜敷。皇矣太祖，耀名天衢。剪商隆祚，奄宅隋区。有命既集，诞开灵符。
太庙乐歌九首 其八 饮福酒歌,隋,牛弘等奉诏作,四言诗,神道正直，祀事有融。肃雍备礼，庄敬在躬。羞燔已具，奠酹将终。降祥惟永，受福无穷。
元会大飨歌十一首 其一 皇夏,隋,牛弘等奉诏作,四言诗,深哉皇度，粹矣天仪。司陛整跸，式道先驰。八屯雾拥，七萃云披。退扬进揖，步矩行规。句陈乍转，华盖徐移。羽旗照耀，圭组陆离。居高念下，处安思危。照临有度，纪律无亏。
